Route_name,Route_link
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Siliguri to Darjeeling,https://www.redbus.in/bus-tickets/siliguri-to-darjeeling
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
Kolkata to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-cooch-behar-west-bengal
Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
Cooch Behar (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-berhampore
Kolkata to Balurghat,https://www.redbus.in/bus-tickets/kolkata-to-balurghat
Berhampore (West Bengal) to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/berhampore-to-cooch-behar-west-bengal
Cooch Behar (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-kolkata
Berhampore (West Bengal) to Siliguri,https://www.redbus.in/bus-tickets/berhampore-to-siliguri
Kolkata to Gangarampur,https://www.redbus.in/bus-tickets/kolkata-to-gangarampur
Malda to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/malda-to-cooch-behar-west-bengal
Balurghat to Kolkata,https://www.redbus.in/bus-tickets/balurghat-to-kolkata
Siliguri to Kalimpong,https://www.redbus.in/bus-tickets/siliguri-to-kalimpong
Cooch Behar (West Bengal) to Malda,https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-malda
Kolkata to Jalpaiguri,https://www.redbus.in/bus-tickets/kolkata-to-jalpaiguri
